Tissue	Stage	CNA_type	GeneA	GeneB	MutAFreq	CNAFreq	FreqMutB	NoMutA_WT_NoMutB	NoMutA_WT_MutB	MutA_WT_NoMutB	MutA_WT_MutB	NoMutA_CNA_NoMutB	NoMutA_CNA_MutB	MutA_CNA_NoMutB	MutA_CNA_MutB
Breast	Primary	Loss	CBFB	PTEN	0.0470967741935484	0.465806451612903	0.0664516129032258	689	55	19	1	623	46	54	3
Breast	Primary	Loss	CBFB	RB1	0.0470967741935484	0.465806451612903	0.0225806451612903	723	21	19	1	656	13	55	2
Breast	Primary	Loss	CBFB	RUNX1	0.0470967741935484	0.465806451612903	0.0316129032258065	725	19	18	2	640	29	55	2
Breast	Primary	Loss	CBFB	SF3B1	0.0470967741935484	0.465806451612903	0.0232258064516129	727	17	19	1	650	19	54	3
Breast	Primary	Loss	CBFB	SPEN	0.0470967741935484	0.465806451612903	0.0148387096774194	731	13	19	1	658	11	55	2
Breast	Primary	Loss	CBFB	TBX3	0.0470967741935484	0.465806451612903	0.0361290322580645	724	20	17	3	636	33	53	4
Breast	Primary	Loss	CBFB	TP53	0.0470967741935484	0.465806451612903	0.354193548387097	406	338	15	5	499	170	53	4
Breast	Primary	Loss	CDH1	AKT1	0.12	0.455483870967742	0.0464516129032258	692	24	49	1	536	34	128	12
Breast	Primary	Loss	CDH1	ARID1A	0.12	0.455483870967742	0.0380645161290323	693	23	46	4	547	23	130	10
Breast	Primary	Loss	CDH1	CBFB	0.12	0.455483870967742	0.0470967741935484	698	18	47	3	523	47	131	9
Breast	Primary	Loss	CDH1	CDKN1B	0.12	0.455483870967742	0.0109677419354839	712	4	48	2	558	12	138	2
Breast	Primary	Loss	CDH1	ERBB2	0.12	0.455483870967742	0.0141935483870968	708	8	48	2	563	7	132	8
Breast	Primary	Loss	CDH1	ESR1	0.12	0.455483870967742	0.012258064516129	709	7	49	1	561	9	136	4
Breast	Primary	Loss	CDH1	FOXA1	0.12	0.455483870967742	0.0193548387096774	705	11	46	4	561	9	131	9
Breast	Primary	Loss	CDH1	GATA3	0.12	0.455483870967742	0.146451612903226	607	109	48	2	472	98	132	8
Breast	Primary	Loss	CDH1	KDM6A	0.12	0.455483870967742	0.0109677419354839	707	9	47	3	565	5	136	4
Breast	Primary	Loss	CDH1	KMT2C	0.12	0.455483870967742	0.047741935483871	683	33	47	3	540	30	130	10
Breast	Primary	Loss	CDH1	MAP2K4	0.12	0.455483870967742	0.0303225806451613	695	21	49	1	551	19	134	6
Breast	Primary	Loss	CDH1	MAP3K1	0.12	0.455483870967742	0.072258064516129	676	40	47	3	511	59	128	12
Breast	Primary	Loss	CDH1	NCOR1	0.12	0.455483870967742	0.0270967741935484	704	12	47	3	549	21	132	8
Breast	Primary	Loss	CDH1	NF1	0.12	0.455483870967742	0.0219354838709677	697	19	47	3	557	13	137	3
Breast	Primary	Loss	CDH1	PIK3CA	0.12	0.455483870967742	0.383225806451613	479	237	21	29	324	246	71	69
Breast	Primary	Loss	CDH1	PIK3R1	0.12	0.455483870967742	0.0141935483870968	704	12	49	1	560	10	137	3
Breast	Primary	Loss	CDH1	PTEN	0.12	0.455483870967742	0.0664516129032258	664	52	46	4	534	36	127	13
Breast	Primary	Loss	CDH1	RB1	0.12	0.455483870967742	0.0225806451612903	696	20	48	2	557	13	138	2
Breast	Primary	Loss	CDH1	RUNX1	0.12	0.455483870967742	0.0316129032258065	703	13	45	5	550	20	128	12
Breast	Primary	Loss	CDH1	SF3B1	0.12	0.455483870967742	0.0232258064516129	698	18	49	1	553	17	136	4
Breast	Primary	Loss	CDH1	SPEN	0.12	0.455483870967742	0.0148387096774194	704	12	49	1	558	12	138	2
Breast	Primary	Loss	CDH1	TBX3	0.12	0.455483870967742	0.0361290322580645	698	18	43	7	555	15	121	19
Breast	Primary	Loss	CDH1	TP53	0.12	0.455483870967742	0.354193548387097	377	339	45	5	414	156	128	12
Breast	Primary	Loss	MAP2K4	AKT1	0.0303225806451613	0.407096774193548	0.0464516129032258	845	43	13	2	573	26	31	5
Breast	Primary	Loss	MAP2K4	ARID1A	0.0303225806451613	0.407096774193548	0.0380645161290323	863	25	13	2	570	29	32	4
Breast	Primary	Loss	MAP2K4	CBFB	0.0303225806451613	0.407096774193548	0.0470967741935484	833	55	13	2	581	18	34	2
Breast	Primary	Loss	MAP2K4	CDH1	0.0303225806451613	0.407096774193548	0.12	761	127	14	1	544	55	30	6
Breast	Primary	Loss	MAP2K4	CDKN1B	0.0303225806451613	0.407096774193548	0.0109677419354839	876	12	14	1	593	6	35	1
Breast	Primary	Loss	MAP2K4	ERBB2	0.0303225806451613	0.407096774193548	0.0141935483870968	873	15	14	1	590	9	35	1
Breast	Primary	Loss	MAP2K4	ESR1	0.0303225806451613	0.407096774193548	0.012258064516129	875	13	14	1	591	8	35	1
Breast	Primary	Loss	MAP2K4	FOXA1	0.0303225806451613	0.407096774193548	0.0193548387096774	871	17	13	2	586	13	34	2
Breast	Primary	Loss	MAP2K4	GATA3	0.0303225806451613	0.407096774193548	0.146451612903226	772	116	13	2	499	100	27	9
Breast	Primary	Loss	MAP2K4	KDM6A	0.0303225806451613	0.407096774193548	0.0109677419354839	873	15	14	1	595	4	35	1
Breast	Primary	Loss	MAP2K4	KMT2C	0.0303225806451613	0.407096774193548	0.047741935483871	837	51	13	2	577	22	34	2
Breast	Primary	Loss	MAP2K4	MAP3K1	0.0303225806451613	0.407096774193548	0.072258064516129	805	83	14	1	570	29	35	1
Breast	Primary	Loss	MAP2K4	NCOR1	0.0303225806451613	0.407096774193548	0.0270967741935484	869	19	10	5	582	17	31	5
Breast	Primary	Loss	MAP2K4	NF1	0.0303225806451613	0.407096774193548	0.0219354838709677	873	15	14	1	580	19	34	2
Breast	Primary	Loss	MAP2K4	PIK3CA	0.0303225806451613	0.407096774193548	0.383225806451613	498	390	8	7	420	179	18	18
Breast	Primary	Loss	MAP2K4	PIK3R1	0.0303225806451613	0.407096774193548	0.0141935483870968	877	11	14	1	590	9	33	3
Breast	Primary	Loss	MAP2K4	PTEN	0.0303225806451613	0.407096774193548	0.0664516129032258	823	65	11	4	570	29	28	8
Breast	Primary	Loss	MAP2K4	RB1	0.0303225806451613	0.407096774193548	0.0225806451612903	869	19	14	1	582	17	35	1
Breast	Primary	Loss	MAP2K4	RUNX1	0.0303225806451613	0.407096774193548	0.0316129032258065	858	30	14	1	580	19	33	3
Breast	Primary	Loss	MAP2K4	SF3B1	0.0303225806451613	0.407096774193548	0.0232258064516129	865	23	14	1	584	15	35	1
Breast	Primary	Loss	MAP2K4	SPEN	0.0303225806451613	0.407096774193548	0.0148387096774194	875	13	14	1	590	9	33	3
Breast	Primary	Loss	MAP2K4	TBX3	0.0303225806451613	0.407096774193548	0.0361290322580645	856	32	13	2	577	22	32	4
Breast	Primary	Loss	MAP2K4	TP53	0.0303225806451613	0.407096774193548	0.354193548387097	643	245	11	4	313	286	23	13
Breast	Primary	Loss	NF1	AKT1	0.0219354838709677	0.180645161290323	0.0464516129032258	1103	51	17	2	248	18	14	4
Breast	Primary	Loss	NF1	ARID1A	0.0219354838709677	0.180645161290323	0.0380645161290323	1112	42	18	1	259	7	16	2
Breast	Primary	Loss	NF1	CBFB	0.0219354838709677	0.180645161290323	0.0470967741935484	1091	63	18	1	257	9	15	3
Breast	Primary	Loss	NF1	CDH1	0.0219354838709677	0.180645161290323	0.12	995	159	15	4	243	23	16	2
Breast	Primary	Loss	NF1	CDKN1B	0.0219354838709677	0.180645161290323	0.0109677419354839	1140	14	18	1	263	3	17	1
Breast	Primary	Loss	NF1	ERBB2	0.0219354838709677	0.180645161290323	0.0141935483870968	1136	18	17	2	263	3	16	2
Breast	Primary	Loss	NF1	ESR1	0.0219354838709677	0.180645161290323	0.012258064516129	1141	13	18	1	264	2	16	2
Breast	Primary	Loss	NF1	FOXA1	0.0219354838709677	0.180645161290323	0.0193548387096774	1129	25	17	2	260	6	17	1
Breast	Primary	Loss	NF1	GATA3	0.0219354838709677	0.180645161290323	0.146451612903226	979	175	18	1	234	32	12	6
Breast	Primary	Loss	NF1	KDM6A	0.0219354838709677	0.180645161290323	0.0109677419354839	1142	12	15	4	262	4	17	1
Breast	Primary	Loss	NF1	KMT2C	0.0219354838709677	0.180645161290323	0.047741935483871	1095	59	17	2	256	10	17	1
Breast	Primary	Loss	NF1	MAP2K4	0.0219354838709677	0.180645161290323	0.0303225806451613	1121	33	17	2	253	13	17	1
Breast	Primary	Loss	NF1	MAP3K1	0.0219354838709677	0.180645161290323	0.072258064516129	1060	94	16	3	255	11	15	3
Breast	Primary	Loss	NF1	NCOR1	0.0219354838709677	0.180645161290323	0.0270967741935484	1125	29	18	1	257	9	14	4
Breast	Primary	Loss	NF1	PIK3CA	0.0219354838709677	0.180645161290323	0.383225806451613	672	482	11	8	191	75	9	9
Breast	Primary	Loss	NF1	PIK3R1	0.0219354838709677	0.180645161290323	0.0141935483870968	1142	12	17	2	258	8	17	1
Breast	Primary	Loss	NF1	PTEN	0.0219354838709677	0.180645161290323	0.0664516129032258	1071	83	16	3	253	13	15	3
Breast	Primary	Loss	NF1	RB1	0.0219354838709677	0.180645161290323	0.0225806451612903	1131	23	18	1	255	11	16	2
Breast	Primary	Loss	NF1	RUNX1	0.0219354838709677	0.180645161290323	0.0316129032258065	1114	40	17	2	258	8	15	3
Breast	Primary	Loss	NF1	SF3B1	0.0219354838709677	0.180645161290323	0.0232258064516129	1123	31	17	2	265	1	17	1
Breast	Primary	Loss	NF1	SPEN	0.0219354838709677	0.180645161290323	0.0148387096774194	1138	16	17	2	260	6	17	1
Breast	Primary	Loss	NF1	TBX3	0.0219354838709677	0.180645161290323	0.0361290322580645	1106	48	18	1	261	5	16	2
Breast	Primary	Loss	NF1	TP53	0.0219354838709677	0.180645161290323	0.354193548387097	821	333	8	11	95	171	8	10
Breast	Primary	Loss	PTEN	AKT1	0.0664516129032258	0.121290322580645	0.0464516129032258	1188	67	73	1	157	4	30	1
Breast	Primary	Loss	PTEN	ARID1A	0.0664516129032258	0.121290322580645	0.0380645161290323	1209	46	69	5	153	8	29	2
Breast	Primary	Loss	PTEN	CBFB	0.0664516129032258	0.121290322580645	0.0470967741935484	1185	70	71	3	158	3	30	1
Breast	Primary	Loss	PTEN	CDH1	0.0664516129032258	0.121290322580645	0.12	1092	163	63	11	154	7	25	6
Breast	Primary	Loss	PTEN	CDKN1B	0.0664516129032258	0.121290322580645	0.0109677419354839	1239	16	73	1	158	3	30	1
Breast	Primary	Loss	PTEN	ERBB2	0.0664516129032258	0.121290322580645	0.0141935483870968	1235	20	72	2	158	3	30	1
Breast	Primary	Loss	PTEN	ESR1	0.0664516129032258	0.121290322580645	0.012258064516129	1238	17	72	2	159	2	29	2
Breast	Primary	Loss	PTEN	FOXA1	0.0664516129032258	0.121290322580645	0.0193548387096774	1228	27	71	3	159	2	29	2
Breast	Primary	Loss	PTEN	GATA3	0.0664516129032258	0.121290322580645	0.146451612903226	1054	201	71	3	141	20	27	4
Breast	Primary	Loss	PTEN	KDM6A	0.0664516129032258	0.121290322580645	0.0109677419354839	1239	16	72	2	160	1	30	1
Breast	Primary	Loss	PTEN	KMT2C	0.0664516129032258	0.121290322580645	0.047741935483871	1197	58	69	5	153	8	27	4
Breast	Primary	Loss	PTEN	MAP2K4	0.0664516129032258	0.121290322580645	0.0303225806451613	1219	36	66	8	158	3	27	4
Breast	Primary	Loss	PTEN	MAP3K1	0.0664516129032258	0.121290322580645	0.072258064516129	1158	97	67	7	152	9	29	2
Breast	Primary	Loss	PTEN	NCOR1	0.0664516129032258	0.121290322580645	0.0270967741935484	1218	37	72	2	158	3	29	2
Breast	Primary	Loss	PTEN	NF1	0.0664516129032258	0.121290322580645	0.0219354838709677	1230	25	69	5	156	5	30	1
Breast	Primary	Loss	PTEN	PIK3CA	0.0664516129032258	0.121290322580645	0.383225806451613	731	524	56	18	131	30	21	10
Breast	Primary	Loss	PTEN	PIK3R1	0.0664516129032258	0.121290322580645	0.0141935483870968	1243	12	66	8	157	4	29	2
Breast	Primary	Loss	PTEN	RB1	0.0664516129032258	0.121290322580645	0.0225806451612903	1228	27	73	1	154	7	29	2
Breast	Primary	Loss	PTEN	RUNX1	0.0664516129032258	0.121290322580645	0.0316129032258065	1213	42	71	3	156	5	29	2
Breast	Primary	Loss	PTEN	SF3B1	0.0664516129032258	0.121290322580645	0.0232258064516129	1226	29	69	5	158	3	29	2
Breast	Primary	Loss	PTEN	SPEN	0.0664516129032258	0.121290322580645	0.0148387096774194	1237	18	72	2	157	4	28	3
Breast	Primary	Loss	PTEN	TBX3	0.0664516129032258	0.121290322580645	0.0361290322580645	1205	50	71	3	157	4	29	2
Breast	Primary	Loss	PTEN	TP53	0.0664516129032258	0.121290322580645	0.354193548387097	866	389	47	27	58	103	21	10
Breast	Primary	Loss	RB1	AKT1	0.0225806451612903	0.294193548387097	0.0464516129032258	1004	57	18	1	424	16	18	2
Breast	Primary	Loss	RB1	ARID1A	0.0225806451612903	0.294193548387097	0.0380645161290323	1016	45	17	2	425	15	19	1
Breast	Primary	Loss	RB1	CBFB	0.0225806451612903	0.294193548387097	0.0470967741935484	999	62	18	1	428	12	18	2
Breast	Primary	Loss	RB1	CDH1	0.0225806451612903	0.294193548387097	0.12	907	154	16	3	410	30	19	1
Breast	Primary	Loss	RB1	CDKN1B	0.0225806451612903	0.294193548387097	0.0109677419354839	1047	14	18	1	435	5	19	1
Breast	Primary	Loss	RB1	ERBB2	0.0225806451612903	0.294193548387097	0.0141935483870968	1043	18	18	1	436	4	19	1
Breast	Primary	Loss	RB1	ESR1	0.0225806451612903	0.294193548387097	0.012258064516129	1049	12	18	1	431	9	19	1
Breast	Primary	Loss	RB1	FOXA1	0.0225806451612903	0.294193548387097	0.0193548387096774	1036	25	18	1	434	6	18	2
Breast	Primary	Loss	RB1	GATA3	0.0225806451612903	0.294193548387097	0.146451612903226	886	175	17	2	392	48	17	3
Breast	Primary	Loss	RB1	KDM6A	0.0225806451612903	0.294193548387097	0.0109677419354839	1046	15	18	1	436	4	19	1
Breast	Primary	Loss	RB1	KMT2C	0.0225806451612903	0.294193548387097	0.047741935483871	1012	49	16	3	417	23	19	1
Breast	Primary	Loss	RB1	MAP2K4	0.0225806451612903	0.294193548387097	0.0303225806451613	1028	33	18	1	425	15	19	1
Breast	Primary	Loss	RB1	MAP3K1	0.0225806451612903	0.294193548387097	0.072258064516129	967	94	18	1	422	18	18	2
Breast	Primary	Loss	RB1	NCOR1	0.0225806451612903	0.294193548387097	0.0270967741935484	1037	24	16	3	423	17	18	2
Breast	Primary	Loss	RB1	NF1	0.0225806451612903	0.294193548387097	0.0219354838709677	1041	20	18	1	426	14	18	2
Breast	Primary	Loss	RB1	PIK3CA	0.0225806451612903	0.294193548387097	0.383225806451613	612	449	14	5	310	130	13	7
Breast	Primary	Loss	RB1	PIK3R1	0.0225806451612903	0.294193548387097	0.0141935483870968	1045	16	17	2	434	6	19	1
Breast	Primary	Loss	RB1	PTEN	0.0225806451612903	0.294193548387097	0.0664516129032258	992	69	17	2	407	33	19	1
Breast	Primary	Loss	RB1	RUNX1	0.0225806451612903	0.294193548387097	0.0316129032258065	1018	43	18	1	434	6	18	2
Breast	Primary	Loss	RB1	SF3B1	0.0225806451612903	0.294193548387097	0.0232258064516129	1035	26	18	1	428	12	19	1
Breast	Primary	Loss	RB1	SPEN	0.0225806451612903	0.294193548387097	0.0148387096774194	1045	16	18	1	432	8	18	2
Breast	Primary	Loss	RB1	TBX3	0.0225806451612903	0.294193548387097	0.0361290322580645	1019	42	17	2	427	13	19	1
Breast	Primary	Loss	RB1	TP53	0.0225806451612903	0.294193548387097	0.354193548387097	767	294	5	14	218	222	6	14
Breast	Primary	Loss	TP53	AKT1	0.354193548387097	0.384516129032258	0.0464516129032258	613	39	281	6	324	13	246	17
Breast	Primary	Loss	TP53	ARID1A	0.354193548387097	0.384516129032258	0.0380645161290323	628	24	284	3	313	24	253	10
Breast	Primary	Loss	TP53	CBFB	0.354193548387097	0.384516129032258	0.0470967741935484	599	53	284	3	322	15	258	5
Breast	Primary	Loss	TP53	CDH1	0.354193548387097	0.384516129032258	0.12	530	122	280	7	287	50	253	10
Breast	Primary	Loss	TP53	CDKN1B	0.354193548387097	0.384516129032258	0.0109677419354839	640	12	285	2	334	3	260	3
Breast	Primary	Loss	TP53	ERBB2	0.354193548387097	0.384516129032258	0.0141935483870968	638	14	284	3	333	4	258	5
Breast	Primary	Loss	TP53	ESR1	0.354193548387097	0.384516129032258	0.012258064516129	641	11	285	2	330	7	260	3
Breast	Primary	Loss	TP53	FOXA1	0.354193548387097	0.384516129032258	0.0193548387096774	638	14	283	4	326	11	258	5
Breast	Primary	Loss	TP53	GATA3	0.354193548387097	0.384516129032258	0.146451612903226	534	118	279	8	251	86	245	18
Breast	Primary	Loss	TP53	KDM6A	0.354193548387097	0.384516129032258	0.0109677419354839	642	10	281	6	335	2	260	3
Breast	Primary	Loss	TP53	KMT2C	0.354193548387097	0.384516129032258	0.047741935483871	610	42	274	13	328	9	250	13
Breast	Primary	Loss	TP53	MAP2K4	0.354193548387097	0.384516129032258	0.0303225806451613	644	8	283	4	311	26	250	13
Breast	Primary	Loss	TP53	MAP3K1	0.354193548387097	0.384516129032258	0.072258064516129	577	75	277	10	320	17	250	13
Breast	Primary	Loss	TP53	NCOR1	0.354193548387097	0.384516129032258	0.0270967741935484	635	17	279	8	323	14	257	6
Breast	Primary	Loss	TP53	NF1	0.354193548387097	0.384516129032258	0.0219354838709677	645	7	277	10	328	9	252	11
Breast	Primary	Loss	TP53	PIK3CA	0.354193548387097	0.384516129032258	0.383225806451613	321	331	212	75	229	108	186	77
Breast	Primary	Loss	TP53	PIK3R1	0.354193548387097	0.384516129032258	0.0141935483870968	645	7	282	5	331	6	257	6
Breast	Primary	Loss	TP53	PTEN	0.354193548387097	0.384516129032258	0.0664516129032258	604	48	265	22	318	19	247	16
Breast	Primary	Loss	TP53	RB1	0.354193548387097	0.384516129032258	0.0225806451612903	646	6	271	16	333	4	251	12
Breast	Primary	Loss	TP53	RUNX1	0.354193548387097	0.384516129032258	0.0316129032258065	629	23	278	9	325	12	255	8
Breast	Primary	Loss	TP53	SF3B1	0.354193548387097	0.384516129032258	0.0232258064516129	631	21	283	4	325	12	260	3
Breast	Primary	Loss	TP53	SPEN	0.354193548387097	0.384516129032258	0.0148387096774194	640	12	283	4	332	5	258	5
Breast	Primary	Loss	TP53	TBX3	0.354193548387097	0.384516129032258	0.0361290322580645	624	28	281	6	317	20	257	6
Breast	Metastasis	Loss	CDH1	AKT1	0.136842105263158	0.393301435406699	0.0497607655502392	495	19	35	7	289	22	97	7
Breast	Metastasis	Loss	CDH1	ARID1A	0.136842105263158	0.393301435406699	0.0507177033492823	492	22	37	5	291	20	97	7
Breast	Metastasis	Loss	CDH1	ARID2	0.136842105263158	0.393301435406699	0.0143540669856459	507	7	41	1	305	6	100	4
Breast	Metastasis	Loss	CDH1	ATM	0.136842105263158	0.393301435406699	0.0162679425837321	506	8	41	1	302	9	101	3
Breast	Metastasis	Loss	CDH1	BRCA1	0.136842105263158	0.393301435406699	0.0124401913875598	504	10	41	1	306	5	103	1
Breast	Metastasis	Loss	CDH1	BRCA2	0.136842105263158	0.393301435406699	0.015311004784689	507	7	41	1	304	7	100	4
Breast	Metastasis	Loss	CDH1	CBFB	0.136842105263158	0.393301435406699	0.0191387559808612	510	4	37	5	301	10	99	5
Breast	Metastasis	Loss	CDH1	CDKN2A	0.136842105263158	0.393301435406699	0.0105263157894737	507	7	39	3	308	3	103	1
Breast	Metastasis	Loss	CDH1	ERBB2	0.136842105263158	0.393301435406699	0.0449760765550239	499	15	38	4	299	12	87	17
Breast	Metastasis	Loss	CDH1	ESR1	0.136842105263158	0.393301435406699	0.133014354066986	454	60	37	5	257	54	88	16
Breast	Metastasis	Loss	CDH1	FOXA1	0.136842105263158	0.393301435406699	0.0373205741626794	501	13	39	3	296	15	93	11
Breast	Metastasis	Loss	CDH1	GATA3	0.136842105263158	0.393301435406699	0.132057416267943	431	83	41	1	268	43	99	5
Breast	Metastasis	Loss	CDH1	KMT2A	0.136842105263158	0.393301435406699	0.0114832535885167	510	4	41	1	306	5	99	5
Breast	Metastasis	Loss	CDH1	KMT2C	0.136842105263158	0.393301435406699	0.0650717703349282	484	30	37	5	290	21	92	12
Breast	Metastasis	Loss	CDH1	KRAS	0.136842105263158	0.393301435406699	0.0114832535885167	508	6	39	3	307	4	101	3
Breast	Metastasis	Loss	CDH1	MAP2K4	0.136842105263158	0.393301435406699	0.0267942583732057	502	12	40	2	299	12	99	5
Breast	Metastasis	Loss	CDH1	MAP3K1	0.136842105263158	0.393301435406699	0.0545454545454545	493	21	38	4	283	28	96	8
Breast	Metastasis	Loss	CDH1	MEN1	0.136842105263158	0.393301435406699	0.0105263157894737	508	6	41	1	305	6	102	2
Breast	Metastasis	Loss	CDH1	NCOR1	0.136842105263158	0.393301435406699	0.030622009569378	504	10	38	4	300	11	94	10
Breast	Metastasis	Loss	CDH1	NF1	0.136842105263158	0.393301435406699	0.0411483253588517	493	21	40	2	297	14	97	7
Breast	Metastasis	Loss	CDH1	PIK3CA	0.136842105263158	0.393301435406699	0.34066985645933	353	161	24	18	190	121	60	44
Breast	Metastasis	Loss	CDH1	PIK3R1	0.136842105263158	0.393301435406699	0.0220095693779904	500	14	40	2	302	9	103	1
Breast	Metastasis	Loss	CDH1	PTEN	0.136842105263158	0.393301435406699	0.0545454545454545	487	27	37	5	297	14	97	7
Breast	Metastasis	Loss	CDH1	RB1	0.136842105263158	0.393301435406699	0.0277511961722488	498	16	40	2	302	9	99	5
Breast	Metastasis	Loss	CDH1	RHOA	0.136842105263158	0.393301435406699	0.0105263157894737	511	3	36	6	309	2	100	4
Breast	Metastasis	Loss	CDH1	RUNX1	0.136842105263158	0.393301435406699	0.0258373205741627	507	7	40	2	298	13	95	9
Breast	Metastasis	Loss	CDH1	SF3B1	0.136842105263158	0.393301435406699	0.0133971291866029	503	11	41	1	307	4	103	1
Breast	Metastasis	Loss	CDH1	SMAD4	0.136842105263158	0.393301435406699	0.0133971291866029	508	6	40	2	306	5	99	5
Breast	Metastasis	Loss	CDH1	SPEN	0.136842105263158	0.393301435406699	0.0248803827751196	508	6	41	1	298	13	95	9
Breast	Metastasis	Loss	CDH1	TBX3	0.136842105263158	0.393301435406699	0.045933014354067	498	16	32	10	300	11	89	15
Breast	Metastasis	Loss	CDH1	TP53	0.136842105263158	0.393301435406699	0.428708133971292	275	239	33	9	179	132	83	21
Breast	Metastasis	Loss	ESR1	AKT1	0.133014354066986	0.241148325358852	0.0497607655502392	561	36	66	5	199	5	49	3
Breast	Metastasis	Loss	ESR1	ARID1A	0.133014354066986	0.241148325358852	0.0507177033492823	568	29	67	4	193	11	47	5
Breast	Metastasis	Loss	ESR1	ARID2	0.133014354066986	0.241148325358852	0.0143540669856459	588	9	69	2	200	4	51	1
Breast	Metastasis	Loss	ESR1	ATM	0.133014354066986	0.241148325358852	0.0162679425837321	587	10	70	1	200	4	48	4
Breast	Metastasis	Loss	ESR1	BRCA1	0.133014354066986	0.241148325358852	0.0124401913875598	589	8	69	2	200	4	51	1
Breast	Metastasis	Loss	ESR1	BRCA2	0.133014354066986	0.241148325358852	0.015311004784689	583	14	70	1	203	1	49	3
Breast	Metastasis	Loss	ESR1	CBFB	0.133014354066986	0.241148325358852	0.0191387559808612	584	13	68	3	201	3	51	1
Breast	Metastasis	Loss	ESR1	CDH1	0.133014354066986	0.241148325358852	0.136842105263158	501	96	58	13	182	22	46	6
Breast	Metastasis	Loss	ESR1	CDKN2A	0.133014354066986	0.241148325358852	0.0105263157894737	587	10	70	1	202	2	51	1
Breast	Metastasis	Loss	ESR1	ERBB2	0.133014354066986	0.241148325358852	0.0449760765550239	561	36	69	2	192	12	51	1
Breast	Metastasis	Loss	ESR1	FOXA1	0.133014354066986	0.241148325358852	0.0373205741626794	567	30	67	4	199	5	49	3
Breast	Metastasis	Loss	ESR1	GATA3	0.133014354066986	0.241148325358852	0.132057416267943	533	64	54	17	179	25	40	12
Breast	Metastasis	Loss	ESR1	KMT2A	0.133014354066986	0.241148325358852	0.0114832535885167	591	6	68	3	198	6	51	1
Breast	Metastasis	Loss	ESR1	KMT2C	0.133014354066986	0.241148325358852	0.0650717703349282	563	34	64	7	186	18	46	6
Breast	Metastasis	Loss	ESR1	KRAS	0.133014354066986	0.241148325358852	0.0114832535885167	589	8	70	1	199	5	50	2
Breast	Metastasis	Loss	ESR1	MAP2K4	0.133014354066986	0.241148325358852	0.0267942583732057	582	15	70	1	197	7	48	4
Breast	Metastasis	Loss	ESR1	MAP3K1	0.133014354066986	0.241148325358852	0.0545454545454545	564	33	66	5	195	9	48	4
Breast	Metastasis	Loss	ESR1	MEN1	0.133014354066986	0.241148325358852	0.0105263157894737	591	6	69	2	201	3	49	3
Breast	Metastasis	Loss	ESR1	NCOR1	0.133014354066986	0.241148325358852	0.030622009569378	576	21	67	4	197	7	51	1
Breast	Metastasis	Loss	ESR1	NF1	0.133014354066986	0.241148325358852	0.0411483253588517	568	29	70	1	194	10	51	1
Breast	Metastasis	Loss	ESR1	PIK3CA	0.133014354066986	0.241148325358852	0.34066985645933	388	209	39	32	146	58	38	14
