Tissue	Subtype	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	IDC-HR-HER2+	Primary	RUNX1	TSG	0.0461538461538462	0.107692307692308	0.169230769230769	8	1	45	4	12	1
Breast	IDC-HR-HER2+	Primary	SETD2	TSG	0.0153846153846154	0.276923076923077	0.0307692307692308	19	1	45	2	3	1
Breast	IDC-HR-HER2+	Primary	SMAD4	TSG	0.0307692307692308	0.338461538461538	0.0153846153846154	21	3	43	1	2	1
Breast	IDC-HR-HER2+	Primary	SPEN	TSG	0.0153846153846154	0.230769230769231	0.0153846153846154	16	1	49	2	2	1
Breast	IDC-HR-HER2+	Primary	STAG2	TSG	0.0153846153846154	0.169230769230769	0.0923076923076923	12	1	48	2	7	1
Breast	IDC-HR-HER2+	Primary	TBX3	TSG	0.0153846153846154	0.184615384615385	0.0153846153846154	13	1	52	2	2	1
Breast	IDC-HR-HER2+	Primary	TERT	OG	0.0153846153846154	0.123076923076923	0.215384615384615	9	1	43	2	15	1
Breast	IDC-HR-HER2+	Primary	TGFBR1	TSG	0.0153846153846154	0.230769230769231	0.0153846153846154	16	1	49	2	2	1
Breast	IDC-HR-HER2+	Primary	TP53	TSG	0.815384615384615	0.538461538461538	0	7	30	7	25	1	1
Breast	IDC-HR-HER2+	Metastasis	AMER1	TSG	0.02	0.24	0.02	13	1	37	2	2	1
Breast	IDC-HR-HER2+	Metastasis	ANKRD11	TSG	0.04	0.2	0.08	10	2	36	2	5	1
Breast	IDC-HR-HER2+	Metastasis	ARID1A	TSG	0.02	0.18	0.02	10	1	40	2	2	1
Breast	IDC-HR-HER2+	Metastasis	ARID2	TSG	0.02	0.16	0.12	9	1	37	1	6	2
Breast	IDC-HR-HER2+	Metastasis	AXIN1	TSG	0.02	0.14	0.16	8	1	35	2	9	1
Breast	IDC-HR-HER2+	Metastasis	CDKN2A	TSG	0.02	0.42	0.06	21	2	27	1	4	1
Breast	IDC-HR-HER2+	Metastasis	ERBB2	OG	0.14	0.38	0.06	16	5	27	3	3	2
Breast	IDC-HR-HER2+	Metastasis	ERBB3	OG	0.02	0.16	0.12	9	1	37	1	6	2
Breast	IDC-HR-HER2+	Metastasis	ERCC2	TSG	0.02	0.16	0.06	9	1	39	2	4	1
Breast	IDC-HR-HER2+	Metastasis	ERCC4	TSG	0.02	0.12	0.1	6	2	40	1	6	1
Breast	IDC-HR-HER2+	Metastasis	KDM5C	TSG	0.02	0.34	0.04	17	2	32	1	3	1
Breast	IDC-HR-HER2+	Metastasis	KMT2D	TSG	0.02	0.14	0.1	8	1	38	2	6	1
Breast	IDC-HR-HER2+	Metastasis	MAP2K1	OG	0.02	0.18	0.02	10	1	40	2	2	1
Breast	IDC-HR-HER2+	Metastasis	MAP2K4	TSG	0.02	0.44	0	22	2	29	1	1	1
Breast	IDC-HR-HER2+	Metastasis	MAP3K1	TSG	0.04	0.26	0.06	14	1	33	3	4	1
Breast	IDC-HR-HER2+	Metastasis	NCOR1	TSG	0.02	0.38	0.02	19	2	31	1	2	1
Breast	IDC-HR-HER2+	Metastasis	NF1	TSG	0.12	0.3	0.08	15	2	27	6	5	1
Breast	IDC-HR-HER2+	Metastasis	NOTCH1	DFG	0.02	0.14	0.06	8	1	40	2	4	1
Breast	IDC-HR-HER2+	Metastasis	PBRM1	TSG	0.04	0.32	0.04	17	1	31	3	3	1
Breast	IDC-HR-HER2+	Metastasis	PIK3CA	OG	0.38	0.02	0.12	2	1	27	18	5	3
Breast	IDC-HR-HER2+	Metastasis	PIK3R1	TSG	0.04	0.2	0.04	11	1	37	3	3	1
Breast	IDC-HR-HER2+	Metastasis	PTCH1	TSG	0.02	0.2	0	10	2	41	1	1	1
Breast	IDC-HR-HER2+	Metastasis	PTEN	TSG	0.02	0.2	0.04	11	1	38	2	3	1
Breast	IDC-HR-HER2+	Metastasis	PTPRD	TSG	0.02	0.42	0.04	21	2	28	1	3	1
Breast	IDC-HR-HER2+	Metastasis	RB1	TSG	0.02	0.3	0.06	16	1	32	2	4	1
Breast	IDC-HR-HER2+	Metastasis	RECQL4	TSG	0.02	0.1	0.34	6	1	28	2	18	1
Breast	IDC-HR-HER2+	Metastasis	RHOA	OG	0.02	0.26	0.04	14	1	35	2	3	1
Breast	IDC-HR-HER2+	Metastasis	RUNX1	TSG	0.06	0.14	0.18	8	1	33	3	9	2
Breast	IDC-HR-HER2+	Metastasis	SMAD4	TSG	0.04	0.3	0.02	14	3	35	1	2	1
Breast	IDC-HR-HER2+	Metastasis	SMARCA4	TSG	0.02	0.24	0.04	12	2	37	1	3	1
Breast	IDC-HR-HER2+	Metastasis	SPEN	TSG	0.02	0.2	0.02	11	1	39	2	2	1
Breast	IDC-HR-HER2+	Metastasis	TP53	TSG	0.82	0.42	0	8	15	3	28	1	1
Breast	IDC-HR+HER2-	Primary	AKT1	OG	0.0559139784946237	0.119354838709677	0.0763440860215054	111	2	709	41	61	12
Breast	IDC-HR+HER2-	Primary	ARID1A	TSG	0.0440860215053763	0.226881720430108	0.0193548387096774	201	12	674	29	17	3
Breast	IDC-HR+HER2-	Primary	CBFB	TSG	0.0612903225806452	0.474193548387097	0.0494623655913978	397	46	432	13	47	1
Breast	IDC-HR+HER2-	Primary	CDH1	TSG	0.0139784946236559	0.467741935483871	0.0602150537634409	431	6	432	9	57	1
Breast	IDC-HR+HER2-	Primary	CTCF	TSG	0.010752688172043	0.473118279569892	0.0462365591397849	434	8	445	4	44	1
Breast	IDC-HR+HER2-	Primary	ESR1	OG	0.0161290322580645	0.221505376344086	0.0967741935483871	203	5	626	10	89	3
Breast	IDC-HR+HER2-	Primary	MAP2K4	TSG	0.0397849462365591	0.383870967741935	0.0118279569892473	332	27	552	12	12	1
Breast	IDC-HR+HER2-	Primary	MEN1	TSG	0.0150537634408602	0.104301075268817	0.0849462365591398	95	4	745	11	79	2
Breast	IDC-HR+HER2-	Primary	NCOR1	TSG	0.0311827956989247	0.349462365591398	0.0247311827956989	310	17	570	14	24	1
Breast	IDC-HR+HER2-	Primary	NF1	TSG	0.0225806451612903	0.148387096774194	0.067741935483871	125	15	723	8	64	1
Breast	IDC-HR+HER2-	Primary	PIK3CA	OG	0.425806451612903	0.0301075268817204	0.103225806451613	16	14	470	338	51	47
Breast	IDC-HR+HER2-	Primary	PTEN	TSG	0.0688172043010753	0.104301075268817	0.021505376344086	77	22	773	42	19	3
Breast	IDC-HR+HER2-	Primary	RB1	TSG	0.0172043010752688	0.297849462365591	0.00967741935483871	269	10	638	8	10	1
Breast	IDC-HR+HER2-	Primary	SPEN	TSG	0.0172043010752688	0.175268817204301	0.032258064516129	161	4	726	13	30	2
Breast	IDC-HR+HER2-	Primary	TP53	TSG	0.247311827956989	0.368817204301075	0.0139784946236559	230	115	460	116	13	2
Breast	IDC-HR+HER2-	Metastasis	AKT1	OG	0.0602409638554217	0.182444061962134	0.101549053356282	106	2	388	30	55	6
Breast	IDC-HR+HER2-	Metastasis	APC	TSG	0.0103270223752151	0.118760757314974	0.132530120481928	68	3	433	4	77	2
Breast	IDC-HR+HER2-	Metastasis	ARID1A	TSG	0.0516351118760757	0.38382099827883	0.0120481927710843	217	8	330	23	7	2
Breast	IDC-HR+HER2-	Metastasis	ARID2	TSG	0.0154905335628227	0.0567986230636833	0.108433734939759	33	2	478	9	64	1
Breast	IDC-HR+HER2-	Metastasis	ATM	TSG	0.0103270223752151	0.537005163511188	0.0189328743545611	308	6	258	2	12	1
Breast	IDC-HR+HER2-	Metastasis	BRCA1	TSG	0.0120481927710843	0.172117039586919	0.153184165232358	97	5	391	3	89	2
Breast	IDC-HR+HER2-	Metastasis	BRCA2	TSG	0.0189328743545611	0.309810671256454	0.0378657487091222	177	5	374	7	22	2
Breast	IDC-HR+HER2-	Metastasis	CBFB	TSG	0.0189328743545611	0.390705679862306	0.0688468158347676	220	9	312	4	41	1
Breast	IDC-HR+HER2-	Metastasis	CDH1	TSG	0.0275387263339071	0.376936316695353	0.0826161790017212	208	13	311	5	49	1
Breast	IDC-HR+HER2-	Metastasis	CDKN1B	TSG	0.0120481927710843	0.132530120481928	0.0981067125645439	77	2	443	6	57	2
Breast	IDC-HR+HER2-	Metastasis	CTCF	TSG	0.0154905335628227	0.371772805507745	0.0705679862306368	211	7	322	4	42	1
Breast	IDC-HR+HER2-	Metastasis	ERBB2	OG	0.0327022375215146	0.179001721170396	0.134251290877797	102	4	385	16	78	2
Breast	IDC-HR+HER2-	Metastasis	ESR1	OG	0.192771084337349	0.240963855421687	0.158347676419966	100	42	297	54	75	19
Breast	IDC-HR+HER2-	Metastasis	FOXA1	DFG	0.0378657487091222	0.0740103270223752	0.12736660929432	42	3	448	18	72	4
Breast	IDC-HR+HER2-	Metastasis	GATA3	DFG	0.196213425129088	0.0619621342512909	0.122203098106713	32	6	378	98	60	13
Breast	IDC-HR+HER2-	Metastasis	KMT2A	TSG	0.0103270223752151	0.514629948364888	0.0275387263339071	296	5	265	3	17	1
Breast	IDC-HR+HER2-	Metastasis	KMT2C	TSG	0.0636833046471601	0.172117039586919	0.0929432013769363	98	4	406	23	43	13
Breast	IDC-HR+HER2-	Metastasis	KRAS	OG	0.0137693631669535	0.117039586919105	0.108433734939759	69	1	444	8	63	2
Breast	IDC-HR+HER2-	Metastasis	MAP2K4	TSG	0.0309810671256454	0.459552495697074	0.0223752151462995	253	16	299	4	14	1
Breast	IDC-HR+HER2-	Metastasis	MAP3K1	TSG	0.0602409638554217	0.146299483648881	0.120481927710843	80	7	407	21	62	10
Breast	IDC-HR+HER2-	Metastasis	MEN1	TSG	0.0154905335628227	0.101549053356282	0.0963855421686747	57	4	461	7	57	1
Breast	IDC-HR+HER2-	Metastasis	NCOR1	TSG	0.0223752151462995	0.416523235800344	0.036144578313253	234	10	315	5	22	1
Breast	IDC-HR+HER2-	Metastasis	NF1	TSG	0.0223752151462995	0.179001721170396	0.12736660929432	97	9	399	6	75	1
Breast	IDC-HR+HER2-	Metastasis	NOTCH2	DFG	0.0120481927710843	0.161790017211704	0.111876075731497	94	2	417	7	66	1
Breast	IDC-HR+HER2-	Metastasis	PIK3CA	OG	0.366609294320138	0.0533562822719449	0.17039586919105	27	6	305	148	39	62
Breast	IDC-HR+HER2-	Metastasis	PIK3R1	TSG	0.0154905335628227	0.129087779690189	0.110154905335628	74	3	437	7	64	2
Breast	IDC-HR+HER2-	Metastasis	PTEN	TSG	0.0499139414802065	0.173838209982788	0.0464716006884682	93	10	436	19	26	3
Breast	IDC-HR+HER2-	Metastasis	RB1	TSG	0.0258175559380379	0.397590361445783	0.0189328743545611	222	11	335	6	12	1
Breast	IDC-HR+HER2-	Metastasis	RUNX1	TSG	0.0240963855421687	0.122203098106713	0.080895008605852	72	1	452	13	46	3
Breast	IDC-HR+HER2-	Metastasis	SF3B1	OG	0.0223752151462995	0.103270223752151	0.0309810671256454	60	2	492	13	19	1
Breast	IDC-HR+HER2-	Metastasis	SMAD4	TSG	0.0103270223752151	0.287435456110155	0.0481927710843374	163	6	386	2	29	1
Breast	IDC-HR+HER2-	Metastasis	SPEN	TSG	0.0223752151462995	0.302925989672978	0.0172117039586919	174	4	386	11	11	1
Breast	IDC-HR+HER2-	Metastasis	STAG2	TSG	0.0103270223752151	0.194492254733219	0.0292598967297762	114	1	446	7	18	1
Breast	IDC-HR+HER2-	Metastasis	TBX3	TSG	0.0395869191049914	0.072289156626506	0.113597246127367	43	1	456	19	62	6
Breast	IDC-HR+HER2-	Metastasis	TP53	TSG	0.3184165232358	0.423407917383821	0.0154905335628227	136	112	253	75	10	1
Breast	IDC-HR+HER2+	Primary	AKT1	OG	0.0136054421768707	0.108843537414966	0.0884353741496599	17	1	117	3	14	1
Breast	IDC-HR+HER2+	Primary	ARID1A	TSG	0.0340136054421769	0.346938775510204	0.0136054421768707	49	4	93	3	3	1
Breast	IDC-HR+HER2+	Primary	ATM	TSG	0.0136054421768707	0.387755102040816	0.0136054421768707	57	2	88	2	3	1
Breast	IDC-HR+HER2+	Primary	CBFB	TSG	0.0204081632653061	0.353741496598639	0.0408163265306122	51	3	89	2	7	1
Breast	IDC-HR+HER2+	Primary	ERBB2	OG	0.0204081632653061	0.224489795918367	0.149659863945578	34	1	90	4	23	1
Breast	IDC-HR+HER2+	Primary	GATA3	DFG	0.197278911564626	0.0272108843537415	0.156462585034014	5	1	96	26	20	5
Breast	IDC-HR+HER2+	Primary	KMT2A	TSG	0.0204081632653061	0.380952380952381	0.0204081632653061	55	3	88	2	4	1
Breast	IDC-HR+HER2+	Primary	KMT2C	TSG	0.0272108843537415	0.136054421768707	0.0204081632653061	21	1	121	5	4	1
Breast	IDC-HR+HER2+	Primary	MAP2K4	TSG	0.0136054421768707	0.619047619047619	0.0136054421768707	90	3	55	1	3	1
Breast	IDC-HR+HER2+	Primary	MAP3K1	TSG	0.0272108843537415	0.102040816326531	0.0476190476190476	15	2	123	4	8	1
Breast	IDC-HR+HER2+	Primary	MED12	DFG	0.0136054421768707	0.19047619047619	0.0136054421768707	29	1	116	3	3	1
Breast	IDC-HR+HER2+	Primary	NF1	TSG	0.0272108843537415	0.258503401360544	0.156462585034014	38	2	84	4	24	1
Breast	IDC-HR+HER2+	Primary	PIK3CA	OG	0.312925170068027	0.0272108843537415	0.108843537414966	4	2	89	40	11	7
Breast	IDC-HR+HER2+	Primary	PTEN	TSG	0.0408163265306122	0.136054421768707	0.0340136054421769	20	2	118	6	6	1
Breast	IDC-HR+HER2+	Primary	SPEN	TSG	0.0136054421768707	0.312925170068027	0.0340136054421769	45	3	97	1	6	1
Breast	IDC-HR+HER2+	Primary	TP53	TSG	0.496598639455782	0.571428571428571	0.00680272108843537	45	41	30	34	2	1
Breast	IDC-HR+HER2+	Metastasis	ARID1A	TSG	0.055045871559633	0.44954128440367	0.00917431192660551	47	4	57	4	2	1
Breast	IDC-HR+HER2+	Metastasis	ARID2	TSG	0.018348623853211	0.0642201834862385	0.137614678899083	8	1	86	3	16	1
Breast	IDC-HR+HER2+	Metastasis	ATM	TSG	0.0458715596330275	0.513761467889908	0	54	4	52	3	1	1
Breast	IDC-HR+HER2+	Metastasis	CDK12	TSG	0.018348623853211	0.238532110091743	0.137614678899083	27	1	67	3	16	1
Breast	IDC-HR+HER2+	Metastasis	ESR1	OG	0.055045871559633	0.275229357798165	0.0917431192660551	29	3	66	5	11	1
Breast	IDC-HR+HER2+	Metastasis	GATA3	DFG	0.155963302752294	0.128440366972477	0.0825688073394495	15	1	72	16	8	3
Breast	IDC-HR+HER2+	Metastasis	KMT2A	TSG	0.018348623853211	0.458715596330275	0.018348623853211	50	2	57	2	3	1
Breast	IDC-HR+HER2+	Metastasis	KMT2C	TSG	0.0825688073394495	0.192660550458716	0.0458715596330275	21	2	78	7	4	3
Breast	IDC-HR+HER2+	Metastasis	MAP2K4	TSG	0.018348623853211	0.63302752293578	0.018348623853211	68	3	39	1	3	1
Breast	IDC-HR+HER2+	Metastasis	MAP3K1	TSG	0.055045871559633	0.119266055045872	0.0825688073394495	14	1	83	6	9	2
Breast	IDC-HR+HER2+	Metastasis	NCOR1	TSG	0.0275229357798165	0.587155963302752	0.0275229357798165	63	3	42	2	4	1
Breast	IDC-HR+HER2+	Metastasis	NF1	TSG	0.0275229357798165	0.229357798165138	0.18348623853211	24	3	64	2	21	1
Breast	IDC-HR+HER2+	Metastasis	NSD1	DFG	0.018348623853211	0.055045871559633	0.110091743119266	7	1	90	3	13	1
Breast	IDC-HR+HER2+	Metastasis	PIK3CA	OG	0.36697247706422	0.0275229357798165	0.174311926605505	4	1	54	35	14	7
Breast	IDC-HR+HER2+	Metastasis	PIK3R2	TSG	0.018348623853211	0.18348623853211	0.0917431192660551	20	2	80	1	10	2
Breast	IDC-HR+HER2+	Metastasis	PTEN	TSG	0.0458715596330275	0.256880733944954	0.0458715596330275	26	4	76	2	5	2
Breast	IDC-HR+HER2+	Metastasis	TBX3	TSG	0.0275229357798165	0.119266055045872	0.073394495412844	14	1	87	3	8	2
Breast	IDC-HR+HER2+	Metastasis	TP53	TSG	0.541284403669725	0.577981651376147	0	28	37	24	24	1	1
Breast	IDC-TN	Primary	AKT1	OG	0.0252525252525253	0.338383838383838	0.0555555555555556	68	1	116	6	12	1
Breast	IDC-TN	Primary	APC	TSG	0.0101010101010101	0.484848484848485	0.0101010101010101	96	2	100	2	3	1
Breast	IDC-TN	Primary	BRCA1	TSG	0.0252525252525253	0.267676767676768	0.0353535353535354	52	3	138	2	6	3
Breast	IDC-TN	Primary	BRCA2	TSG	0.0151515151515152	0.328282828282828	0.0353535353535354	65	2	125	3	8	1
Breast	IDC-TN	Primary	CBFB	TSG	0.0101010101010101	0.272727272727273	0.0707070707070707	55	1	129	3	15	1
Breast	IDC-TN	Primary	CBL	TSG	0.0101010101010101	0.252525252525253	0.0454545454545455	51	1	139	2	9	2
Breast	IDC-TN	Primary	CDKN2A	TSG	0.0151515151515152	0.282828282828283	0.166666666666667	57	1	107	4	34	1
Breast	IDC-TN	Primary	CIC	TSG	0.0101010101010101	0.156565656565657	0.106060606060606	32	1	146	2	21	2
Breast	IDC-TN	Primary	CREBBP	TSG	0.0404040404040404	0.191919191919192	0.131313131313131	39	1	129	7	25	3
Breast	IDC-TN	Primary	EP300	TSG	0.0202020202020202	0.116161616161616	0.0808080808080808	24	1	156	5	17	1
Breast	IDC-TN	Primary	ERBB2	OG	0.0202020202020202	0.287878787878788	0.0252525252525253	57	2	134	4	6	1
Breast	IDC-TN	Primary	FOXA1	DFG	0.0151515151515152	0.388888888888889	0.0252525252525253	78	1	114	4	6	1
Breast	IDC-TN	Primary	KDM5C	TSG	0.0101010101010101	0.353535353535354	0.0303030303030303	71	1	121	3	7	1
Breast	IDC-TN	Primary	KDM6A	TSG	0.0252525252525253	0.398989898989899	0.0606060606060606	78	3	105	4	13	1
Breast	IDC-TN	Primary	KMT2A	TSG	0.0151515151515152	0.247474747474747	0.0505050505050505	50	1	137	4	11	1
Breast	IDC-TN	Primary	KMT2C	TSG	0.0656565656565657	0.136363636363636	0.171717171717172	24	5	132	7	32	4
Breast	IDC-TN	Primary	KMT2D	TSG	0.0202020202020202	0.282828282828283	0.0353535353535354	55	3	134	3	8	1
Breast	IDC-TN	Primary	KRAS	OG	0.0151515151515152	0.111111111111111	0.202020202020202	23	1	135	3	40	2
Breast	IDC-TN	Primary	MAP2K4	TSG	0.0151515151515152	0.409090909090909	0.0252525252525253	81	2	111	3	6	1
Breast	IDC-TN	Primary	MAP3K1	TSG	0.0202020202020202	0.454545454545455	0	90	2	106	4	1	1
Breast	IDC-TN	Primary	NCOR1	TSG	0.0101010101010101	0.383838383838384	0.0202020202020202	77	1	117	3	5	1
Breast	IDC-TN	Primary	NF1	TSG	0.0252525252525253	0.297979797979798	0.0353535353535354	60	1	129	5	7	2
Breast	IDC-TN	Primary	NOTCH1	DFG	0.0353535353535354	0.217171717171717	0.0909090909090909	44	1	133	6	17	3
Breast	IDC-TN	Primary	NOTCH2	DFG	0.0151515151515152	0.0606060606060606	0.111111111111111	13	1	162	4	23	1
Breast	IDC-TN	Primary	PIK3CA	OG	0.121212121212121	0.0404040404040404	0.232323232323232	8	2	126	20	43	5
Breast	IDC-TN	Primary	PIK3R1	TSG	0.0555555555555556	0.45959595959596	0.00505050505050505	91	2	97	11	2	1
Breast	IDC-TN	Primary	PTEN	TSG	0.0707070707070707	0.217171717171717	0.0353535353535354	42	3	137	13	8	1
Breast	IDC-TN	Primary	RB1	TSG	0.0858585858585859	0.388888888888889	0.0151515151515152	70	9	110	10	4	1
Breast	IDC-TN	Primary	RUNX1	TSG	0.0151515151515152	0.0606060606060606	0.176767676767677	13	1	149	4	36	1
Breast	IDC-TN	Primary	SPEN	TSG	0.0101010101010101	0.252525252525253	0.0505050505050505	51	1	137	3	11	1
Breast	IDC-TN	Primary	TBX3	TSG	0.0101010101010101	0.277777777777778	0.0303030303030303	55	2	137	2	7	1
Breast	IDC-TN	Primary	TCF7L2	TSG	0.0101010101010101	0.257575757575758	0.0303030303030303	51	2	141	2	7	1
Breast	IDC-TN	Primary	TERT	OG	0.0101010101010101	0.207070707070707	0.252525252525253	42	1	107	2	50	2
Breast	IDC-TN	Primary	TP53	TSG	0.893939393939394	0.363636363636364	0.0151515151515152	4	70	18	107	2	3
Breast	IDC-TN	Metastasis	AKT1	OG	0.027972027972028	0.251748251748252	0.132867132867133	37	1	86	4	19	2
Breast	IDC-TN	Metastasis	ARID1A	TSG	0.020979020979021	0.27972027972028	0.020979020979021	40	2	99	3	4	1
Breast	IDC-TN	Metastasis	ATM	TSG	0.027972027972028	0.293706293706294	0.132867132867133	42	2	81	3	19	2
Breast	IDC-TN	Metastasis	BAP1	TSG	0.034965034965035	0.384615384615385	0.034965034965035	54	3	81	4	6	1
Breast	IDC-TN	Metastasis	BARD1	TSG	0.013986013986014	0.244755244755245	0.048951048951049	36	1	100	3	8	1
Breast	IDC-TN	Metastasis	BRCA1	TSG	0.041958041958042	0.391608391608392	0.020979020979021	55	3	81	5	4	1
Breast	IDC-TN	Metastasis	CBFB	TSG	0.013986013986014	0.272727272727273	0.132867132867133	38	3	86	1	20	1
Breast	IDC-TN	Metastasis	CDKN2A	TSG	0.020979020979021	0.300699300699301	0.265734265734266	41	4	63	1	39	1
Breast	IDC-TN	Metastasis	CIC	TSG	0.020979020979021	0.223776223776224	0.181818181818182	31	3	85	2	27	1
Breast	IDC-TN	Metastasis	ERBB2	OG	0.013986013986014	0.391608391608392	0.034965034965035	57	1	81	3	6	1
Breast	IDC-TN	Metastasis	FBXW7	TSG	0.013986013986014	0.384615384615385	0.013986013986014	55	2	86	2	3	1
Breast	IDC-TN	Metastasis	INPPL1	TSG	0.020979020979021	0.118881118881119	0.174825174825175	18	1	100	3	25	2
Breast	IDC-TN	Metastasis	KDM5C	TSG	0.013986013986014	0.307692307692308	0.0839160839160839	43	3	88	1	13	1
Breast	IDC-TN	Metastasis	KDM6A	TSG	0.027972027972028	0.384615384615385	0.0629370629370629	54	3	78	3	10	1
Breast	IDC-TN	Metastasis	KMT2C	TSG	0.027972027972028	0.111888111888112	0.216783216783217	17	1	93	5	32	1
Breast	IDC-TN	Metastasis	KMT2D	TSG	0.020979020979021	0.286713286713287	0.027972027972028	41	2	97	3	5	1
Breast	IDC-TN	Metastasis	NF1	TSG	0.0839160839160839	0.391608391608392	0.034965034965035	50	8	79	5	5	2
Breast	IDC-TN	Metastasis	NOTCH1	DFG	0.013986013986014	0.265734265734266	0.0839160839160839	39	1	92	3	13	1
Breast	IDC-TN	Metastasis	NOTCH2	DFG	0.020979020979021	0.0769230769230769	0.181818181818182	12	1	104	4	27	1
Breast	IDC-TN	Metastasis	NOTCH3	DFG	0.020979020979021	0.0979020979020979	0.230769230769231	14	2	95	3	34	1
Breast	IDC-TN	Metastasis	NOTCH4	DFG	0.013986013986014	0.125874125874126	0.132867132867133	19	1	105	3	20	1
Breast	IDC-TN	Metastasis	PBRM1	TSG	0.013986013986014	0.398601398601399	0.041958041958042	58	1	79	3	7	1
Breast	IDC-TN	Metastasis	PIK3CA	OG	0.104895104895105	0.041958041958042	0.265734265734266	7	1	89	12	35	5
Breast	IDC-TN	Metastasis	PIK3R1	TSG	0.0769230769230769	0.433566433566434	0.00699300699300699	60	4	73	9	2	1
Breast	IDC-TN	Metastasis	PTEN	TSG	0.0699300699300699	0.300699300699301	0.0699300699300699	42	3	84	8	10	2
Breast	IDC-TN	Metastasis	RB1	TSG	0.0629370629370629	0.447552447552448	0.027972027972028	60	6	72	5	5	1
Breast	IDC-TN	Metastasis	SMARCA4	TSG	0.034965034965035	0.118881118881119	0.223776223776224	17	2	92	4	32	2
Breast	IDC-TN	Metastasis	SMARCB1	TSG	0.013986013986014	0.181818181818182	0.146853146853147	27	1	95	3	22	1
Breast	IDC-TN	Metastasis	SPEN	TSG	0.020979020979021	0.293706293706294	0.034965034965035	42	2	95	3	6	1
Breast	IDC-TN	Metastasis	STAG2	TSG	0.020979020979021	0.300699300699301	0.034965034965035	43	2	95	2	5	2
Breast	IDC-TN	Metastasis	STK11	TSG	0.020979020979021	0.356643356643357	0.0559440559440559	50	3	84	2	9	1
